tournament_code,tournament_name,tier,start_date,end_date,patch_code,url,last_updated,csv_name
1,M5 World Championship,S,20231123.0,20231217,1.8.30B,https://liquipedia.net/mobilelegends/M5_World_Championship,20231230,1_M5 World Championship.csv
2,MLBB Southeast Asia Cup 2023,S,20230610.0,20230618,1.7.82B,https://liquipedia.net/mobilelegends/MSC/2023,20231230,2_MLBB Southeast Asia Cup 2023.csv
3,M4 World Championship,S,20230101.0,20230115,1.7.44C,https://liquipedia.net/mobilelegends/M4_World_Championship,20231230,3_M4 World Championship.csv
4,M3 World Championship,S,20211206.0,20211219,1.6.34,https://liquipedia.net/mobilelegends/M3_World_Championship,20231230,4_M3 World Championship.csv
5,M2 World Championship,S,20210118.0,20210124,1.5.46,https://liquipedia.net/mobilelegends/M2_World_Championship,20231230,5_M2 World Championship.csv
6,M1 World Championship,S,20191110.0,20191117,1.4.20,https://liquipedia.net/mobilelegends/M1_World_Championship,20231230,6_M1 World Championship.csv
7,ONE Esports MPL Invitational 2023,A,20231115.0,20231119,1.8.30B,https://liquipedia.net/mobilelegends/ONE_Esports_MPL_Invitational/2023,20231230,7_ONE Esports MPL Invitational 2023.csv
8,MPL Philippines Season 12,A,20230908.0,20231029,1.8.08 – 1.8.22,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_12,20231230,8_MPL Philippines Season 12.csv
9,MPL Singapore Season 6,A,20230909.0,20231022,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MPL/Singapore/Season_6,20231230,9_MPL Singapore Season 6.csv
10,MPL MENA Fall 2023,A,20230908.0,20231021,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MPL/MENA/2023/Fall,20231230,10_MPL MENA Fall 2023.csv
11,MPL Indonesia Season 12,A,20230713.0,20231015,1.7.94 – 1.8.20,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12,20231230,11_MPL Indonesia Season 12.csv
12,MPL Malaysia Season 12,A,20230818.0,20231008,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_12,20231230,12_MPL Malaysia Season 12.csv
13,Liga Latam 2023,A,20230927.0,20231001,1.8.20,https://liquipedia.net/mobilelegends/Liga_Latam/2023,20231230,13_Liga Latam 2023.csv
14,IESF World Esports Championship 2023,A,20230826.0,20230903,,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2023,20231230,14_IESF World Esports Championship 2023.csv
15,Snapdragon Pro Series Season 3 SEA - Challenge Finals,A,20230717.0,20230723,1.7.94,https://liquipedia.net/mobilelegends/ESL/Snapdragon_Pro_Series/Season_3/SEA/Challenge_Finals,20231230,15_Snapdragon Pro Series Season 3 SEA - Challenge Finals.csv
16,32nd SEA Games - Men's Tournament,A,20230512.0,20230514,,https://liquipedia.net/mobilelegends/Southeast_Asian_Games/2023/Men,20231230,16_32nd SEA Games - Men's Tournament.csv
17,MPL MENA Spring 2023,A,20230323.0,20230513,1.7.68,https://liquipedia.net/mobilelegends/MPL/MENA/2023/Spring,20231230,17_MPL MENA Spring 2023.csv
18,32nd SEA Games - Women's Tournament,A,20230510.0,20230511,,https://liquipedia.net/mobilelegends/Southeast_Asian_Games/2023/Women,20231230,18_32nd SEA Games - Women's Tournament.csv
19,MPL Philippines Season 11,A,20230217.0,20230507,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_11,20231230,19_MPL Philippines Season 11.csv
20,MPL Malaysia Season 11,A,20230310.0,20230430,,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_11,20231230,20_MPL Malaysia Season 11.csv
21,MPL Singapore Season 5,A,20230311.0,20230416,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MPL/Singapore/Season_5,20231230,21_MPL Singapore Season 5.csv
22,MPL Indonesia Season 11,A,20230217.0,20230409,,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11,20231230,22_MPL Indonesia Season 11.csv
23,ONE Esports MPL Invitational 2022,A,20221102.0,20221106,1.7.20B,https://liquipedia.net/mobilelegends/ONE_Esports_MPL_Invitational/2022,20231230,23_ONE Esports MPL Invitational 2022.csv
24,MPL Indonesia Season 10,A,20220812.0,20221023,1.7.08 – 1.7.20,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10,20231230,24_MPL Indonesia Season 10.csv
25,MPL Philippines Season 10,A,20220812.0,20221023,1.7.08 – 1.7.20,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_10,20231230,25_MPL Philippines Season 10.csv
26,MPL Malaysia Season 10,A,20220805.0,20221016,1.6.94 – 1.7.20,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_10,20231230,26_MPL Malaysia Season 10.csv
27,MPL MENA Fall 2022,A,20220812.0,20221015,1.7.08 – 1.7.20,https://liquipedia.net/mobilelegends/MPL/MENA/2022/Fall,20231230,27_MPL MENA Fall 2022.csv
28,MPL Singapore Season 4,A,20220903.0,20221009,1.7.08 – 1.7.20,https://liquipedia.net/mobilelegends/MPL/Singapore/Season_4,20231230,28_MPL Singapore Season 4.csv
29,Liga Latam Season 2,A,20220613.0,20220619,,https://liquipedia.net/mobilelegends/Liga_Latam/Season_2,20231230,29_Liga Latam Season 2.csv
30,MLBB Southeast Asia Cup 2022,A,20220611.0,20220619,,https://liquipedia.net/mobilelegends/MSC/2022,20231230,30_MLBB Southeast Asia Cup 2022.csv
31,31st Southeast Asian Games,A,20220518.0,20220520,,https://liquipedia.net/mobilelegends/Southeast_Asian_Games/2021,20231230,31_31st Southeast Asian Games.csv
32,MPL MENA Spring 2022,A,20220224.0,20220505,1.6.58 – 1.6.72,https://liquipedia.net/mobilelegends/MPL/MENA/2022/Spring,20231230,32_MPL MENA Spring 2022.csv
33,MPL Singapore Season 3,A,20220402.0,20220501,1.6.66 – 1.6.72,https://liquipedia.net/mobilelegends/MPL/Singapore/Season_3,20231230,33_MPL Singapore Season 3.csv
34,MPL Philippines Season 9,A,20220218.0,20220501,1.6.50B – 1.6.72,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_9,20231230,34_MPL Philippines Season 9.csv
35,MPL Malaysia Season 9,A,20220218.0,20220424,1.6.52 – 1.6.72,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_9,20231230,35_MPL Malaysia Season 9.csv
36,MPL Indonesia Season 9,A,20220218.0,20220424,1.6.52 – 1.6.72,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9,20231230,36_MPL Indonesia Season 9.csv
